Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay
100 0.9998844731977818 0 472463.4984291935 9.36698368 9.802406842289814
249 0.9984765246295185 16 530295.4064185533 9.987486329317275 8.403941476591699
499 0.9978821448519829 46 979877.1832074635 20.093555430861685 17.07794957433846
749 0.9966707068227496 109 1423455.7932402627 30.017725351134664 25.395413515815635
1000 0.9945925379329429 237 1736565.1508423563 40.24475007999966 34.35512755046577
2000 0.9899476004228941 867 3515978.568567638 80.40837606399975 68.61332450094947
3000 0.9844505754556894 2040 5203608.376013037 120.5587187200021 102.83004336033952
