Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay
100 0.9976308664259927 10 59317.42937260744 1.4473619199999998 1.4064656508022347
249 0.995757827269793 45 43273.237466564 1.7679999999999957 1.0166640559529263
499 0.9882654249126892 251 97912.15730728378 3.5359999999999923 2.037423439543189
749 0.9849228395061729 499 117586.27327288379 5.304000000000009 3.0581800810286068
1000 0.9802414547474911 884 155099.8578800092 7.079072000000036 4.083019062198015
2000 0.9610597944114666 3355 351303.90615069587 14.151072000000142 8.166041186662848
3000 0.9429590429752194 7496 549365.5806596606 21.223072000000255 12.249062630623755
