Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay
100 0.9906864436012418 41 779251.2318989703 15.652172799999984 17.03170564959918
249 0.9754728550540069 263 1566789.670896433 38.27104899598388 41.58805753238246
499 0.9484298674110259 1142 3947002.0863508075 76.50182823246488 83.18458102291959
749 0.925594084729736 2503 5913037.127754732 114.56798931909232 124.38832291651452
1000 0.9023410750142182 4462 6368993.176567168 152.97002368000033 166.10240120283305
2000 0.8228214997913091 16989 12895457.257865354 305.54148774400365 331.7537314198136
3000 0.7548339614207877 36948 24165138.900505573 458.04345600001543 497.18452913717856
