Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay
100 0.995394888326042 19 689941.6738533381 25.352465919999988 15.656600807212897
249 0.9930040379378345 73 1110204.4583442227 56.37205127710831 30.806567579171082
499 0.9812492730022101 408 2684362.9952188213 121.78511159919835 68.43354126750409
749 0.9765037160134792 777 3400329.4446968916 158.84882815487328 95.88452315173991
1000 0.9589982756824941 1817 5606341.087733659 250.86571955200064 142.13818864367134
2000 0.9359001161440186 5749 9123990.22977039 462.70487436800357 266.21765612449386
3000 0.901504845787892 13608 15464458.499308236 699.2553751893413 407.62108528442384
