Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay
100 0.12738039944263818 0 62806.20026658435 2.8570879999999993 1.6331267790199267
249 0.45438424564842034 62 174965.4561933853 7.071999999999983 4.0666562238117053
499 0.4817060422329082 270 309616.2184632645 14.143999999999969 8.149693758172756
749 0.4699808025761704 590 464712.5237882031 21.216000000000036 12.232720324114427
1000 0.46086119295640676 1075 665319.4350370716 28.316288000000142 16.33207624879206
2000 0.4476144086470438 4300 1196035.8316803619 56.60428800000057 32.664164746651393
3000 0.4301016766028053 9363 2107867.88750568 84.89228800000102 48.99625052249502
