Nodes      DER0                  Collisions          OverallEnergy
100 0.979722270641 174 1416289.65842
249 0.949258319167 1121 3220016.76135
499 0.901737191695 4476 7060082.72536
749 0.859678717346 9828 9603848.05198
1000 0.820876064662 17194 12258533.8658
2000 0.703141501004 61362 26594312.8586
3000 0.616566116779 126366 46871073.5916
