Nodes            DER0                         Collisions  OverallEnergy             Delay         SF7   SF8  SF9  SF10  SF11  SF12    FreqColli    SFColli    PowerColli    TimingColli
100 0.964547634771 522 2368633.1796 15775.692799999979 16 17 17 16 17 17  / 725 565 531 534
249 0.915180428813 3201 5454110.10052 38446.47376706823 41688.57810187034 41 42 41 42 41 42 / 4513 3554 3348 3364
499 0.849214878917 11796 10770160.0998 76748.31159919834 83314.72093561222 83 83 83 83 83 84 / 17689 13739 12955 13025
749 0.787705650264 25889 18420173.524 114814.46194926588 124518.5236538333 124 125 125 125 125 125 / 40546 31650 29847 29989
1000 0.736024780015 44611 22093014.1797 153092.85248000032 166140.9083740808 166 167 167 166 167 167 / 73022 57139 53688 53945
2000 0.592746209583 151313 44806552.0085 305664.2856960037 331792.2642871917 333 333 334 333 333 334 / 290290 227394 214180 215309
3000 0.500925562089 296901 66933740.7794 458043.45600001543 497184.52913717856 500 500 500 500 500 500 / 653966 511342 481480 483899
