Nodes      DER0                  Collisions          OverallEnergy
100 0.988524400139 49 838377.974773
249 0.972112295731 303 1871328.5429
499 0.948781619865 1136 3267407.85878
749 0.922351311841 2641 5374774.47704
1000 0.901510840659 4472 8142128.90916
