Nodes            DER0                         Collisions  OverallEnergy             Delay         SF7   SF8  SF9  SF10  SF11  SF12    FreqColli    SFColli    PowerColli    TimingColli
100 0.99056054073 41 797583.880284 15775.692799999979 16 17 17 16 17 17  / 55 43 42 42
249 0.972944418925 296 1469490.37947 38446.47376706823 41688.57810187034 41 42 41 42 41 42 / 402 320 298 300
499 0.946216010867 1207 3630563.73311 76748.31159919834 83314.72093561222 83 83 83 83 83 84 / 1681 1321 1247 1255
749 0.922162178665 2652 5555848.29398 114814.46194926588 124518.5236538333 124 125 125 125 125 125 / 3827 2921 2754 2766
1000 0.901602942197 4521 6772620.48341 153092.85248000032 166140.9083740808 166 167 167 166 167 167 / 6568 5119 4833 4851
2000 0.821428778337 17115 12735090.774 305664.2856960037 331792.2642871917 333 333 334 333 333 334 / 26086 20408 19213 19324
3000 0.754581414753 36816 20055665.8578 458043.45600001543 497184.52913717856 500 500 500 500 500 500 / 59352 46393 43615 43857
