Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
100 0.9780345471521942 0 69510.43093657555 2857.0879999999993 1633.1267790199267 100 0 0 0 0 0
249 0.7541668616349258 64 167531.00595132913 7071.999999999983 4066.6562238117053 249 0 0 0 0 0
499 0.48573757131214346 302 298462.63408540154 14143.999999999969 8149.693758172756 499 0 0 0 0 0
749 0.4751621210710851 598 498312.9509820793 21216.000000000036 12232.720324114427 749 0 0 0 0 0
1000 0.46154469849653673 1053 553343.7854317684 28316.288000000142 16332.07624879206 1000 0 0 0 0 0
2000 0.445973493488869 4149 1390264.5871689527 56604.28800000057 32664.164746651393 2000 0 0 0 0 0
3000 0.43084761963492846 9234 1883670.4196682917 84892.28800000102 48996.25052249502 3000 0 0 0 0 0
