Nodes      DER0                  Collisions          OverallEnergy
100 0.9878350587333125 174 227838.8002983417
249 0.9842869890134404 559 134959.3892273321
499 0.9678616005745724 2274 263026.84712546103
749 0.9508443489296268 5389 341627.63991176244
1000 0.9360333696799764 9462 549439.8683615742
2000 0.8761004719156447 37097 1136227.998434621
3000 0.8233855939515583 80989 1788469.5739460692
