Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
100 0.9274492743535308 4 210820.51026024972 2857.0879999999993 1633.1267790199267 100 0 0 0 0 0
249 0.74696747114375657 605 511922.2215430144 7071.999999999983 4066.6562238117053 249 0 0 0 0 0
499 0.46103109997912756 3088 1051981.0361525211 14143.999999999969 8149.693758172756 499 0 0 0 0 0
749 0.4372786407092757 6615 1724514.9726074755 21216.000000000036 12232.720324114427 749 0 0 0 0 0
1000 0.41568308187975267 11621 2220171.156258765 28316.288000000142 16332.07624879206 1000 0 0 0 0 0
2000 0.36583064583391256 42957 4052335.0839951914 56604.28800000057 32664.164746651393 2000 0 0 0 0 0
3000 0.32137314178522774 92211 6795255.670097422 84892.28800000102 48996.25052249502 3000 0 0 0 0 0
