Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
100 0.9997704052347607 1 164134.4315328969 4174.40512 3671.95825603105 48 25 15 7 3 2
249 0.9987919338351454 13 365209.0168765816 10165.82991164659 8826.990191936875 118 64 35 17 9 6
499 0.9973150288342556 57 1199704.2811638473 20279.946004007976 17528.11256075309 234 129 71 35 18 12
749 0.9953815261044177 151 1231843.6982665006 30201.046643524518 25843.526742792375 352 194 107 53 26 17
1000 0.9944072496896139 245 1929379.79457758 40244.75007999966 34355.12755046577 470 258 143 71 35 23
2000 0.9883179606995275 1013 3601687.8491931166 80408.37606399975 68613.32450094947 940 516 286 142 70 46
3000 0.9818884355422082 2362 6947831.867116612 120665.48471466875 103114.95736849461 1410 775 428 212 106 69
