Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
100 0.9896415270018621 44 536080.4568914734 15652.172799999984 17031.70564959918 17 17 16 16 17 17
249 0.9740223201725593 283 1747635.8362754453 38271.04899598388 41588.05753238246 42 41 42 41 41 42
499 0.9471938006078745 1172 3504855.8418870713 76501.82823246488 83184.58102291959 84 83 83 82 83 84
749 0.9250274101641521 2534 4948927.515651501 114567.98931909232 124388.32291651452 125 125 125 124 125 125
1000 0.9005462072804444 4533 7738364.291306867 152970.02368000033 166102.40120283305 167 167 166 166 167 167
2000 0.8218196331580683 17128 14018791.918512585 305541.48774400365 331753.7314198136 334 333 333 333 333 334
3000 0.7569016889522606 36412 18608760.217256397 458043.45600001543 497184.52913717856 500 500 500 500 500 500
