Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
100 0.999659439209899 2 462995.51363160147 9366.98368 9802.406842289814 28 12 9 26 19 6
249 0.9988018433179724 14 464129.0998759074 9987.486329317275 8403.941476591699 117 65 36 18 9 4
499 0.997714871986196 50 874467.9743397689 20093.555430861685 17077.94957433846 234 129 72 36 18 10
749 0.9964123896268576 117 1361019.659975889 30017.725351134664 25395.413515815635 352 194 108 54 27 14
1000 0.9947485567225429 217 1972022.1753559113 40244.75007999966 34355.12755046577 470 258 143 71 35 23
2000 0.9894373749963767 914 3345028.965680618 80408.37606399975 68613.32450094947 940 516 286 142 70 46
3000 0.9845577732308999 2021 6743336.919466466 120558.7187200021 102830.04336033952 1410 774 429 213 106 68
