Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
100 0.9912492248329084 130 1562491.8433679948 20841.812479999997 11125.080234971923 18 17 25 11 15 14
249 0.9738349460571682 947 4034491.6494909665 56521.702297188654 33284.840803469044 42 39 44 46 46 32
499 0.9361265563943473 4718 9281489.838968756 129460.82116232463 73949.01805977768 78 75 74 89 87 96
749 0.9217542199085029 8824 13989349.363531636 175908.08130307109 99141.92152095372 126 132 119 133 110 129
1000 0.8981840412376864 15521 16791164.387280874 234825.4256640003 130679.71335046871 170 149 175 177 170 159
2000 0.8143728707501912 60005 32755876.931443557 471393.98425600387 265945.7328484482 344 318 325 342 345 326
3000 0.7452398909322968 130647 51151685.97721931 714934.6404693397 411272.351026557 542 498 450 474 492 544
