Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
100 0.9964136973623322 16 62932.125227302146 1447.3619199999998 1406.4656508022347 38 10 45 7 0 0
249 0.9947690439493718 58 53033.9799011466 1767.9999999999957 1016.6640559529263 249 0 0 0 0 0
499 0.9899164775518798 207 73689.58623161454 3535.9999999999923 2037.423439543189 499 0 0 0 0 0
749 0.9835627381098685 536 117569.54428569913 5304.000000000009 3058.1800810286068 749 0 0 0 0 0
1000 0.9803131783305669 835 179385.8624970329 7079.072000000036 4083.019062198015 1000 0 0 0 0 0
2000 0.9599884593190998 3521 310203.5827186921 14151.072000000142 8166.041186662848 2000 0 0 0 0 0
3000 0.9420645404793357 7675 443080.56600874703 21223.072000000255 12249.062630623755 3000 0 0 0 0 0
