Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
100 0.9986376973592287 18 504748.1108045875 4174.40512 3671.95825603105 48 25 15 7 3 2
249 0.9960666036581975 141 1567764.5318123677 10165.82991164659 8826.990191936875 118 64 35 17 9 6
499 0.9910676396724801 644 3026926.2928564493 20279.946004007976 17528.11256075309 234 129 71 35 18 12
749 0.9854087863270105 1572 4574312.962274076 30201.046643524518 25843.526742792375 352 194 107 53 26 17
1000 0.9800951518369302 2885 6537598.89139744 40244.75007999966 34355.12755046577 470 258 143 71 35 23
2000 0.9608111887625966 11389 13675935.390930386 80408.37606399975 68613.32450094947 940 516 286 142 70 46
3000 0.9412515816257955 25728 18470605.61524564 120665.48471466875 103114.95736849461 1410 775 428 212 106 69
