Nodes      DER0                  Collisions          OverallEnergy
100 0.997979331447 17 940250.458243
249 0.997601136549 53 963906.303414
499 0.995213983492 203 1885942.1935
749 0.99209364094 505 2768908.62857
1000 0.989606593317 892 3644017.87542
2000 0.979094419013 3665 7331621.28587
3000 0.968305312749 8293 9958252.93933
