Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
3000 0.9013775527907685 13572 18711302.202540707 715777.6303786746 404128.9215788086 468 486 501 505 540 500
3000 0.9039116694928319 13183 16287519.783650987 702253.606826674 405191.40355106385 502 476 500 503 519 500
3000 0.9035217199780521 13324 15002666.250606466 705202.2326613417 403363.0188438103 475 533 496 470 518 508
3000 0.9080138942969386 12572 13720708.024252249 679865.8191360082 392922.1462215559 503 512 496 523 476 490
3000 0.9088787394029321 12425 17246836.624522533 675468.3107840082 391366.16104034975 517 470 535 509 491 478
3000 0.9059742167417228 12873 12751383.005039074 686539.2115200072 398280.8651810297 509 479 499 519 512 482
3000 0.9005660879732352 13708 16415485.218789553 720476.6241280065 415862.3697912499 463 527 490 479 509 532
3000 0.9057999914814198 12886 17131967.116666205 703387.8266880073 398617.3460515762 527 476 483 511 496 507
3000 0.9031838078202449 13261 14608227.082030201 708899.5457706746 405396.5912648337 490 495 529 482 485 519
