x,y,sf,cf,rx
9.51727,8.99097,7,7,-52.1658176713333
10.9773,-7.15517,7,5,-52.1775483256971
-7.92279,13.8941,7,2,-55.1124765684803
-16.2519,-2.13894,7,8,-55.4846918196056
-28.5935,1.30385,7,7,-64.3499522071565
-33.6796,8.88927,7,2,-67.5964515000772
23.7237,31.3892,7,2,-69.629168753952
-4.99377,41.219,7,1,-70.5302649381773
42.2586,6.54801,7,3,-71.0249793138433
-42.8811,1.02871,7,3,-71.076146558658
7.57061,45.2059,7,1,-72.1911705576298
13.0092,-52.3656,7,4,-74.9425361843834
3.06554,56.5135,7,8,-75.7500442803401
19.4807,68.2318,7,8,-79.5837699009028
54.5986,45.8516,7,5,-79.6648377011289
-68.9951,-21.5701,7,8,-79.8991675985476
-32.8169,-67.8536,7,8,-80.6091280066156
-73.7802,18.4788,7,5,-80.7631798103546
77.1514,0.194747,7,1,-81.0056173626062
59.0064,-55.8864,7,3,-81.8902228012665
82.8075,20.287,7,2,-82.7046113448392
-56.1214,-64.9465,7,8,-82.8197371682029
81.235,-28.1159,7,4,-82.8450729965849
-15.0249,-85.3235,7,5,-82.9778619349694
73.9017,50.0066,7,2,-83.4801153432292
-23.3115,88.1595,7,5,-83.8498105497416
-70.7331,-58.8064,7,8,-83.9978338488366
92.7071,13.5396,7,8,-84.3105769190601
70.1762,64.032,7,7,-84.5467663033069
-3.3464,-95.4888,7,2,-84.6448242274701
93.2907,-36.6359,7,8,-85.459307494891
-4.47256,101.508,7,1,-85.6923247430915
62.2904,-82.3216,7,3,-85.9628693740911
99.9349,-30.8971,7,2,-86.1875106094626
51.0921,-93.1904,7,5,-86.4582905249171
-100.809,36.4063,7,1,-86.6027063168194
19.1497,-105.74,7,5,-86.646946971145
-59.7974,-89.5805,7,1,-86.685782615655
44.1235,-98.6135,7,6,-86.7378708677929
106.006,-24.5401,7,6,-86.8596716478882
-12.0587,-108.645,7,6,-86.9382572743484
100.339,43.7808,7,5,-86.9635618313288
82.672,-78.5644,7,1,-87.6614214853543
117.981,-1.5073,7,5,-88.2409370050326
-19.9414,117.277,7,2,-88.3805259926223
-104.748,58.4956,7,6,-88.525316424666
59.4429,-108.373,7,7,-89.0338037106136
98.5251,79.363,7,6,-89.4305908743097
-55.7959,-114.363,7,4,-89.5293547120471
1.38229,128.315,7,4,-89.6727921294912
30.1606,-126.944,7,1,-89.9569781694501
19.6014,-129.337,7,7,-90.0008781536913
95.2788,-93.1838,7,7,-90.3184556309478
