Nodes      DER0                  Collisions          OverallEnergy
100 0.999539912583 2 309457.32722
249 0.999205236092 9 472938.079365
499 0.998049822395 38 988772.974302
749 0.997169565949 97 1453752.48914
1000 0.995955639507 177 1701829.18862
