Nodes            DER0                         Collisions  OverallEnergy             Delay         SF7   SF8  SF9  SF10  SF11  SF12    FreqColli    SFColli    PowerColli    TimingColli
100 0.996962714705 44 1260215.52999 9366.98368 28 12 9 26 19 6  / 407 50 44 44
249 0.996530813316 122 1540198.22121 9987.486329317275 8403.941476591699 117 65 36 18 9 4 / 1112 152 122 143
499 0.991694710952 606 2981640.43377 20093.555430861685 17077.94957433846 234 129 72 36 18 10 / 4733 726 608 683
749 0.987327964351 1357 4051911.92424 30017.725351134664 25395.413515815635 352 194 108 54 27 14 / 10459 1652 1363 1560
1000 0.982670454545 2521 6238252.28653 40244.75007999966 34355.12755046577 470 258 143 71 35 23 / 19312 3057 2530 2874
2000 0.965705562327 9917 10591453.6948 80408.37606399975 68613.32450094947 940 516 286 142 70 46 / 76836 12235 9995 11502
3000 0.94746748822 22981 20426180.7164 120558.7187200021 102830.04336033952 1410 774 429 213 106 68 / 174349 28279 23325 26632
