19.4807,68.2318,7,1,-79.58376990090277
54.5986,45.8516,7,2,-79.66483770112887
59.0064,-55.8864,7,3,-81.89022280126646
-3.3464,-95.4888,7,4,-84.64482422747015
-122.375,52.8356,7,5,-90.32132374195005
112.353,78.4957,7,6,-90.79648214084712
146.563,-79.7231,7,7,-94.15341678074091
26.3425,175.734,7,8,-95.22975663683596
-121.642,166.464,7,1,-97.76837705559167
5.3659,210.038,7,2,-98.09127556053463
-13.099,210.694,7,3,-98.17192473411949
10.3458,-219.459,7,4,-98.85423084410733
206.175,-86.4804,7,5,-99.15292428745802
190.482,117.519,7,6,-99.17120963030629
180.632,-133.641,7,7,-99.23808678986758
-212.703,-103.019,7,8,-100.1011802172459
55.4758,238.257,7,1,-100.69041165418
-94.63030000000001,-229.822,7,2,-100.9614574487449
-144.769,208.639,7,3,-101.3289649608838
185.458,-191.048,7,4,-102.1380688425007
-222.602,-154.883,7,5,-102.4511934664954
44.2872,-268.391,7,6,-102.5038583997925
165.587,218.649,7,7,-102.6448703205138
226.699,-171.895,7,8,-103.2703881462931
287.199,68.5037,7,1,-103.9045360827394
41.6144,300.053,7,2,-104.3427600164972
205.529,225.98,7,3,-104.4854812986716
253.979,185.897,7,4,-104.9967949764417
-66.4033,-308.721,7,5,-105.0531098384894
311.25,84.4793,7,6,-105.4134758414862
-317.408,-59.2891,7,7,-105.4339657517907
249.723,-211.396,7,8,-105.6593695681402
-333.019,-5.57743,7,1,-105.9638347142353
328.281,-58.6383,7,2,-105.9849224473898
150.108,300.248,7,3,-106.0974741855141
298.918,173.43,7,4,-106.5945340355469
-131.725,336.645,7,5,-107.3639125527133
-84.4926,356.289,7,6,-107.5833769995992
-369.871,-72.0009,7,7,-108.0730911719948
378.539,15.2716,7,8,-108.1650601558601
-389.672,41.9214,7,1,-108.7449344007447
261.22,-292.932,7,2,-108.7695670924533
-379.47,-122.845,7,3,-109.044878306847
-246.81,315.181,7,4,-109.107279184427
-100.75,396.514,7,5,-109.4787701586559
-373.614,-174.441,7,6,-109.6126778978477
351.426,217.037,7,7,-109.6421937761766
-416.669,-45.3603,7,8,-109.8922408483246
247.847,-343.017,7,1,-110.0569367582685
