Nodes            DER0                         Collisions  OverallEnergy             Delay         SF7   SF8  SF9  SF10  SF11  SF12    FreqColli    SFColli    PowerColli    TimingColli
100 0.999071925754 4 548754.180357 9366.98368 28 12 9 26 19 6  / 48 4 4 4
249 0.999350619231 7 428387.54412 9987.486329317275 8403.941476591699 117 65 36 18 9 4 / 99 9 7 9
499 0.99717468331 63 832356.065423 20093.555430861685 17077.94957433846 234 129 72 36 18 10 / 424 73 64 69
749 0.996623662242 115 1236086.67714 30017.725351134664 25395.413515815635 352 194 108 54 27 14 / 948 137 115 126
1000 0.995527149164 199 1800921.35376 40244.75007999966 34355.12755046577 470 258 143 71 35 23 / 1734 234 199 226
2000 0.989464544139 918 3773193.55397 80408.37606399975 68613.32450094947 940 516 286 142 70 46 / 6975 1125 921 1046
3000 0.983738332176 2106 6230264.90865 120558.7187200021 102830.04336033952 1410 774 429 213 106 68 / 15718 2562 2112 2426
