Nodes      DER0                  Collisions          OverallEnergy
100 0.998589562764 6 434306.638319
249 0.998840337694 13 413194.87063
499 0.997740191967 47 832449.155988
749 0.996148769314 126 1548589.84839
1000 0.995295069649 206 1779632.44856
