Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
100 0.998712998713 5 446210.788017 21507.156479999987 11723.618428529271 17 15 22 20 14 12
249 0.99696842498 32 1258181.28103 55881.22628112441 33877.55692712906 41 35 44 42 49 38
499 0.993406695454 143 2616522.60705 115232.22829659311 65744.1207222756 77 93 86 81 75 87
749 0.990120407533 317 4438911.18491 173883.80317222985 103301.32877606394 124 120 124 131 116 134
1000 0.986183473308 605 5138178.39502 232545.7858560005 137500.25010037416 169 166 168 161 169 167
2000 0.974777036172 2204 10186442.6019 459828.7811840041 261199.95950005212 350 306 346 360 299 339
3000 0.961438097999 5132 16308786.9965 706710.3050240086 404303.9803577277 486 515 497 484 478 540
