Nodes      DER0                  Collisions          OverallEnergy
100 0.992090069284 66 1100972.98996
249 0.982819156407 374 2552944.20451
499 0.961922314567 1694 4934601.60673
749 0.948605642662 3374 8419118.90727
1000 0.938686957979 5498 11088079.418
2000 0.883337391163 21544 25418097.4748
3000 0.829092233094 49334 34417534.5587
