Nodes      DER0                  Collisions          OverallEnergy
100 0.130282716409 4 118871.216278
249 0.44685421286 245 355485.455323
499 0.473409257131 1091 585674.935626
749 0.454781580229 2448 895964.227902
1000 0.44082436031 4233 1218469.18621
2000 0.409797982428 16189 2720575.49996
3000 0.377362462485 35309 3834979.13333
