Nodes            DER0                         Collisions  OverallEnergy             Delay           STD_delay   SF7   SF8  SF9  SF10  SF11  SF12
100 0.993756795623 90 50275.7998941 714.2719999999998 408.2816947549817 100 0 0 0 0 0
249 0.9831417624521073 602 131229.67051907818 1767.9999999999957 1016.6640559529263 249 0 0 0 0 0
499 0.967190346242698 2359 287210.39104087075 3535.9999999999923 2037.423439543189 499 0 0 0 0 0
749 0.9514056800477113 5380 358379.0199350972 5304.000000000009 3058.1800810286068 749 0 0 0 0 0
1000 0.9363231972198088 9372 564312.5771591532 7079.072000000036 4083.019062198015 1000 0 0 0 0 0
2000 0.8762958144324159 36912 1005477.8022897112 14151.072000000142 8166.041186662848 2000 0 0 0 0 0
3000 0.8224256165905672 81507 1676292.3679425365 21223.072000000255 12249.062630623755 3000 0 0 0 0 0
