Nodes            DER0                         Collisions  OverallEnergy             Delay         SF7   SF8  SF9  SF10  SF11  SF12    FreqColli    SFColli    PowerColli    TimingColli
100 0.996691871456 14 54979.3758302 1447.3619199999998 38 10 45 7 0 0  / 45 17 14 14
249 0.994905048634 49 38623.4661171 1767.9999999999957 1016.6640559529263 249 0 0 0 0 0 / 81 81 49 78
499 0.989346459604 231 96960.0662952 3535.9999999999923 2037.423439543189 499 0 0 0 0 0 / 327 327 232 308
749 0.985950618049 444 145554.055894 5304.000000000009 3058.1800810286068 749 0 0 0 0 0 / 657 657 446 627
1000 0.980428531676 850 171889.864579 7079.072000000036 4083.019062198015 1000 0 0 0 0 0 / 1213 1213 857 1136
2000 0.960238752743 3486 328914.701395 14151.072000000142 8166.041186662848 2000 0 0 0 0 0 / 4945 4945 3530 4689
3000 0.941738861386 7612 543719.802579 21223.072000000255 12249.062630623755 3000 0 0 0 0 0 / 11030 11030 7743 10416
