Nodes      DER0                  Collisions          OverallEnergy
100 0.9654715863558762 503 2435227.807880424
249 0.918857959400961 3035 6044143.383893194
499 0.8479573242825945 11961 12244431.664509282
749 0.7871759890859482 25938 17861963.421096556
1000 0.7385818709886367 44080 22328569.753982693
2000 0.5939324051384738 151242 50283499.45664808
3000 0.501134504959109 296122 75633301.21499854
