Nodes      DER0                  Collisions          OverallEnergy
100 0.9840506504290064 229 1968501.395398367
249 0.9760820204215248 859 4211356.246969349
499 0.9449750772743728 4079 8507421.779801434
749 0.9159968815547677 9505 14197611.502760401
1000 0.896804945830878 15735 17419666.183039736
2000 0.8183870277194258 58361 32708876.02137555
3000 0.748520843735989 127282 57367589.67113903
