Nodes      DER0                  Collisions          OverallEnergy
100 0.979606398895 1 61298.5545439
249 0.539092233094 67 147057.530862
499 0.517004706592 309 313312.984077
749 0.475773307376 618 419986.342134
1000 0.462477239726 1073 635410.041498
2000 0.444267250065 4342 1181353.73284
3000 0.429480057449 9335 1906096.86823
