Nodes      DER0                  Collisions          OverallEnergy
100 0.9973509933774835 37 1217280.9051277172
249 0.9967408029094978 123 1545308.455265392
499 0.9911251693270211 657 2960579.237768858
749 0.9873771488790778 1369 4255543.042753982
1000 0.9830976702758372 2453 5873870.662750529
2000 0.964864855449849 10218 11491296.821561936
3000 0.9479625997486867 22761 16510476.797759177
